Conference	Org	Homepage
CIKM_2013	ACM	http://dl.acm.org/tab_about.cfm?id=2505515&type=proceeding&sellOnline=0&parent_id=2505515&parent_type=proceeding&title=Proceedings%20of%20the%2022nd%20ACM%20international%20conference%20on%20Conference%20on%20information%20%26%2338%3B%20knowledge%20management&toctitle=22nd%20ACM%20International%20Conference%20on%20Information%20and%20Knowledge%20Management&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
CIKM_2014	ACM	http://dl.acm.org/tab_about.cfm?id=2661829&type=proceeding&sellOnline=0&parent_id=2661829&parent_type=proceeding&title=Proceedings%20of%20the%2023rd%20ACM%20International%20Conference%20on%20Conference%20on%20Information%20and%20Knowledge%20Management&toctitle=2014%20ACM%20Conference%20on%20Information%20and%20Knowledge%20Management&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
CIKM_2015	ACM	http://dl.acm.org/tab_about.cfm?id=2806416&type=proceeding&sellOnline=0&parent_id=2806416&parent_type=proceeding&title=Proceedings%20of%20the%2024th%20ACM%20International%20on%20Conference%20on%20Information%20and%20Knowledge%20Management&toctitle=24th%20ACM%20International%20Conference%20on%20Information%20and%20Knowledge%20Management&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=557822429&cftoken=44379184&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=04E081E2CC115DFD2E3E5968BFC34E5D&_cf_rc=2
CIKM_2016	ACM	http://dl.acm.org/tab_about.cfm?id=2983323&type=proceeding&sellOnline=0&parent_id=2983323&parent_type=proceeding&title=Proceedings%20of%20the%2025th%20ACM%20International%20on%20Conference%20on%20Information%20and%20Knowledge%20Management&toctitle=ACM%20Conference%20on%20Information%20and%20Knowledge%20Management&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=906415327&cftoken=35680119&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=8CFE41B01706D909B03729C3987A9AAD&_cf_rc=2
CL_2011	ACL	http://aclweb.org/anthology/J/J11/
CL_2012	ACL	http://aclweb.org/anthology/J/J12/
CL_2013	ACL	http://aclweb.org/anthology/J/J13/
CL_2014	ACL	http://aclweb.org/anthology/J/J14/
CL_2015	ACL	http://aclweb.org/anthology/J/J15/
CL_2016	ACL	http://aclweb.org/anthology/J/J16/
COLING_2012	ACL	http://aclweb.org/anthology/C/C12/
COLING_2014	ACL	http://aclweb.org/anthology/C/C14/
COLING_2016	ACL	http://aclweb.org/anthology/C/C16/
EMNLP_2011	ACL	http://aclweb.org/anthology/D/D11/
EMNLP_2012	ACL	http://aclweb.org/anthology/D/D12/
EMNLP_2013	ACL	http://aclweb.org/anthology/D/D13/
EMNLP_2014	ACL	http://aclweb.org/anthology/D/D14/
EMNLP_2015	ACL	http://aclweb.org/anthology/D/D15/
EMNLP_2016	ACL	http://aclweb.org/anthology/D/D16/
ICML_2013	JMLR	http://jmlr.org/proceedings/papers/v28/
ICML_2014	JMLR	http://jmlr.org/proceedings/papers/v32/
ICML_2015	JMLR	http://jmlr.org/proceedings/papers/v37/
ICML_2016	JMLR	http://jmlr.org/proceedings/papers/v48/
IJCAI_2011	IEEE	http://www.aaai.org/Library/IJCAI/ijcai11contents.php
IJCAI_2013	IEEE	http://www.aaai.org/Library/IJCAI/ijcai13contents.php
IJCAI_2015	IEEE	http://www.aaai.org/Library/IJCAI/ijcai15contents.php
JMLR_2011	JMLR	http://jmlr.org/papers/v12/
JMLR_2012	JMLR	http://jmlr.org/papers/v13/
JMLR_2013	JMLR	http://jmlr.org/papers/v14/
JMLR_2014	JMLR	http://jmlr.org/papers/v15/
JMLR_2015	JMLR	http://jmlr.org/papers/v16/
JMLR_2016	JMLR	http://jmlr.org/papers/v17/
KDD_2011	ACM	http://dl.acm.org/tab_about.cfm?id=2020408&type=proceeding&sellOnline=0&parent_id=2020408&parent_type=proceeding&title=Proceedings%20of%20the%2017th%20ACM%20SIGKDD%20international%20conference%20on%20Knowledge%20discovery%20and%20data%20mining&toctitle=The%2017th%20ACM%20SIGKDD%20International%20Conference%20on%20Knowledge%20Discovery%20and%20Data%20Mining&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
KDD_2012	ACM	http://dl.acm.org/tab_about.cfm?id=2339530&type=proceeding&sellOnline=0&parent_id=2339530&parent_type=proceeding&title=Proceedings%20of%20the%2018th%20ACM%20SIGKDD%20international%20conference%20on%20Knowledge%20discovery%20and%20data%20mining&toctitle=The%2018th%20ACM%20SIGKDD%20International%20Conference%20on%20Knowledge%20Discovery%20and%20Data%20Mining&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
KDD_2013	ACM	http://dl.acm.org/tab_about.cfm?id=2487575&type=proceeding&sellOnline=0&parent_id=2487575&parent_type=proceeding&title=Proceedings%20of%20the%2019th%20ACM%20SIGKDD%20international%20conference%20on%20Knowledge%20discovery%20and%20data%20mining&toctitle=The%2019th%20ACM%20SIGKDD%20International%20Conference%20on%20Knowledge%20Discovery%20and%20Data%20Mining&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
KDD_2014	ACM	http://dl.acm.org/tab_about.cfm?id=2623330&type=proceeding&sellOnline=0&parent_id=2623330&parent_type=proceeding&title=Proceedings%20of%20the%2020th%20ACM%20SIGKDD%20international%20conference%20on%20Knowledge%20discovery%20and%20data%20mining&toctitle=The%2020th%20ACM%20SIGKDD%20International%20Conference%20on%20Knowledge%20Discovery%20and%20Data%20Mining&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
KDD_2015	ACM	http://dl.acm.org/tab_about.cfm?id=2783258&type=proceeding&sellOnline=0&parent_id=2783258&parent_type=proceeding&title=Proceedings%20of%20the%2021th%20ACM%20SIGKDD%20International%20Conference%20on%20Knowledge%20Discovery%20and%20Data%20Mining&toctitle=The%2021th%20ACM%20SIGKDD%20International%20Conference%20on%20Knowledge%20Discovery%20and%20Data%20Mining&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=542377299&cftoken=57864986&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=61C53490BA17A57145C240520FF11A8C&_cf_rc=1
KDD_2016	ACM	http://dl.acm.org/tab_about.cfm?id=2939672&type=proceeding&sellOnline=0&parent_id=2939672&parent_type=proceeding&title=Proceedings%20of%20the%2022nd%20ACM%20SIGKDD%20International%20Conference%20on%20Knowledge%20Discovery%20and%20Data%20Mining&toctitle=The%2022nd%20ACM%20SIGKDD%20International%20Conference%20on%20Knowledge%20Discovery%20and%20Data%20Mining&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=712407040&cftoken=74317375&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=DA31FA6CCF2B24CA157C328F1F2F215E&_cf_rc=2
NAACL_2012	ACL	http://aclweb.org/anthology/N/N12/
NAACL_2013	ACL	http://aclweb.org/anthology/N/N13/
NAACL_2015	ACL	http://aclweb.org/anthology/N/N15/
NAACL_2016	ACL	http://aclweb.org/anthology/N/N16/
NIPS_2011	NIPS	https://papers.nips.cc/book/advances-in-neural-information-processing-systems-24-2011
NIPS_2012	NIPS	https://papers.nips.cc/book/advances-in-neural-information-processing-systems-25-2012
NIPS_2013	NIPS	https://papers.nips.cc/book/advances-in-neural-information-processing-systems-26-2013
NIPS_2014	NIPS	https://papers.nips.cc/book/advances-in-neural-information-processing-systems-27-2014
NIPS_2015	NIPS	https://papers.nips.cc/book/advances-in-neural-information-processing-systems-28-2015
NIPS_2016	NIPS	https://papers.nips.cc/book/advances-in-neural-information-processing-systems-29-2016
SIGIR_2011	ACM	http://dl.acm.org/tab_about.cfm?id=2009916&type=proceeding&sellOnline=0&parent_id=2009916&parent_type=proceeding&title=Proceedings%20of%20the%2034th%20international%20ACM%20SIGIR%20conference%20on%20Research%20and%20development%20in%20Information%20Retrieval&toctitle=The%2034th%20International%20ACM%20SIGIR%20conference%20on%20research%20and%20development%20in%20Information%20Retrieval&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
SIGIR_2012	ACM	http://dl.acm.org/tab_about.cfm?id=2348283&type=proceeding&sellOnline=0&parent_id=2348283&parent_type=proceeding&title=Proceedings%20of%20the%2035th%20international%20ACM%20SIGIR%20conference%20on%20Research%20and%20development%20in%20information%20retrieval&toctitle=The%2035th%20International%20ACM%20SIGIR%20conference%20on%20research%20and%20development%20in%20Information%20Retrieval&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
SIGIR_2013	ACM	http://dl.acm.org/tab_about.cfm?id=2484028&type=proceeding&sellOnline=0&parent_id=2484028&parent_type=proceeding&title=Proceedings%20of%20the%2036th%20international%20ACM%20SIGIR%20conference%20on%20Research%20and%20development%20in%20information%20retrieval&toctitle=The%2036th%20International%20ACM%20SIGIR%20conference%20on%20research%20and%20development%20in%20Information%20Retrieval&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
SIGIR_2014	ACM	http://dl.acm.org/tab_about.cfm?id=2600428&type=proceeding&sellOnline=0&parent_id=2600428&parent_type=proceeding&title=Proceedings%20of%20the%2037th%20international%20ACM%20SIGIR%20conference%20on%20Research%20%26%2338%3B%20development%20in%20information%20retrieval&toctitle=The%2037th%20International%20ACM%20SIGIR%20Conference%20on%20Research%20and%20Development%20in%20Information%20Retrieval&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
SIGIR_2015	ACM	http://dl.acm.org/tab_about.cfm?id=2766462&type=proceeding&sellOnline=0&parent_id=2766462&parent_type=proceeding&title=Proceedings%20of%20the%2038th%20International%20ACM%20SIGIR%20Conference%20on%20Research%20and%20Development%20in%20Information%20Retrieval&toctitle=The%2038th%20International%20ACM%20SIGIR%20conference%20on%20research%20and%20development%20in%20Information%20Retrieval&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
SIGIR_2016	ACM	http://dl.acm.org/tab_about.cfm?id=2911451&type=proceeding&sellOnline=0&parent_id=2911451&parent_type=proceeding&title=Proceedings%20of%20the%2039th%20International%20ACM%20SIGIR%20conference%20on%20Research%20and%20Development%20in%20Information%20Retrieval&toctitle=The%2039th%20International%20ACM%20SIGIR%20conference%20on%20research%20and%20development%20in%20Information%20Retrieval&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=906415327&cftoken=35680119&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=8CFE41B01706D909B03729C3987A9AAD&_cf_rc=1
SIGMOD_2011	ACM	http://dl.acm.org/tab_about.cfm?id=1989323&type=proceeding&sellOnline=0&parent_id=1989323&parent_type=proceeding&title=Proceedings%20of%20the%202011%20ACM%20SIGMOD%20International%20Conference%20on%20Management%20of%20data&toctitle=International%20Conference%20on%20Management%20of%20Data&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=608120192&cftoken=15758356&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F028AE0B2E254C52B8C045A665A30C36&_cf_rc=1
SIGMOD_2012	ACM	http://dl.acm.org/tab_about.cfm?id=2213836&type=proceeding&sellOnline=0&parent_id=2213836&parent_type=proceeding&title=Proceedings%20of%20the%202012%20ACM%20SIGMOD%20International%20Conference%20on%20Management%20of%20Data&toctitle=International%20Conference%20on%20Management%20of%20Data&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=608120192&cftoken=15758356&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F028AE0B2E254C52B8C045A665A30C36&_cf_rc=1
SIGMOD_2013	ACM	http://dl.acm.org/tab_about.cfm?id=2463676&type=proceeding&sellOnline=0&parent_id=2463676&parent_type=proceeding&title=Proceedings%20of%20the%202013%20ACM%20SIGMOD%20International%20Conference%20on%20Management%20of%20Data&toctitle=International%20Conference%20on%20Management%20of%20Data&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=608120192&cftoken=15758356&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F028AE0B2E254C52B8C045A665A30C36&_cf_rc=1
SIGMOD_2014	ACM	http://dl.acm.org/tab_about.cfm?id=2588555&type=proceeding&sellOnline=0&parent_id=2588555&parent_type=proceeding&title=Proceedings%20of%20the%202014%20ACM%20SIGMOD%20International%20Conference%20on%20Management%20of%20Data&toctitle=International%20Conference%20on%20Management%20of%20Data&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=608120192&cftoken=15758356&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F028AE0B2E254C52B8C045A665A30C36&_cf_rc=1
SIGMOD_2015	ACM	http://dl.acm.org/tab_about.cfm?id=2723372&type=proceeding&sellOnline=0&parent_id=2723372&parent_type=proceeding&title=Proceedings%20of%20the%202015%20ACM%20SIGMOD%20International%20Conference%20on%20Management%20of%20Data&toctitle=International%20Conference%20on%20Management%20of%20Data&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=608120192&cftoken=15758356&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F028AE0B2E254C52B8C045A665A30C36&_cf_rc=1
SIGMOD_2016	ACM	http://dl.acm.org/tab_about.cfm?id=2882903&type=proceeding&sellOnline=0&parent_id=2882903&parent_type=proceeding&title=Proceedings%20of%20the%202016%20International%20Conference%20on%20Management%20of%20Data&toctitle=International%20Conference%20on%20Management%20of%20Data&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=906415327&cftoken=35680119&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=8CFE41B01706D909B03729C3987A9AAD&_cf_rc=1
TACL_2013	ACL	http://aclweb.org/anthology/Q/Q13/
TACL_2014	ACL	http://aclweb.org/anthology/Q/Q14/
TACL_2015	ACL	http://aclweb.org/anthology/Q/Q15/
TACL_2016	ACL	http://aclweb.org/anthology/Q/Q16/
WSDM_2011	ACM	http://dl.acm.org/tab_about.cfm?id=1935826&type=proceeding&sellOnline=0&parent_id=1935826&parent_type=proceeding&title=Proceedings%20of%20the%20fourth%20ACM%20international%20conference%20on%20Web%20search%20and%20data%20mining&toctitle=Fourth%20ACM%20International%20Conference%20on%20Web%20Search%20and%20Data%20Mining&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=761263268&cftoken=33687223&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F4EACC6144367F36B17DAB434742DC37&_cf_rc=1
WSDM_2012	ACM	http://dl.acm.org/tab_about.cfm?id=2124295&type=proceeding&sellOnline=0&parent_id=2124295&parent_type=proceeding&title=Proceedings%20of%20the%20fifth%20ACM%20international%20conference%20on%20Web%20search%20and%20data%20mining&toctitle=Fifth%20ACM%20International%20Conference%20on%20Web%20Search%20and%20Data%20Mining&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=761263268&cftoken=33687223&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F4EACC6144367F36B17DAB434742DC37&_cf_rc=2
WSDM_2013	ACM	http://dl.acm.org/tab_about.cfm?id=2433396&type=proceeding&sellOnline=0&parent_id=2433396&parent_type=proceeding&title=Proceedings%20of%20the%20sixth%20ACM%20international%20conference%20on%20Web%20search%20and%20data%20mining&toctitle=Sixth%20ACM%20International%20Conference%20on%20Web%20Search%20and%20Data%20Mining&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=761263268&cftoken=33687223&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F4EACC6144367F36B17DAB434742DC37&_cf_rc=1
WSDM_2014	ACM	http://dl.acm.org/tab_about.cfm?id=2556195&type=proceeding&sellOnline=0&parent_id=2556195&parent_type=proceeding&title=Proceedings%20of%20the%207th%20ACM%20international%20conference%20on%20Web%20search%20and%20data%20mining&toctitle=Seventh%20ACM%20International%20Conference%20on%20Web%20Search%20and%20Data%20Mining&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=761263268&cftoken=33687223&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F4EACC6144367F36B17DAB434742DC37&_cf_rc=1
WSDM_2015	ACM	http://dl.acm.org/tab_about.cfm?id=2684822&type=proceeding&sellOnline=0&parent_id=2684822&parent_type=proceeding&title=Proceedings%20of%20the%20Eighth%20ACM%20International%20Conference%20on%20Web%20Search%20and%20Data%20Mining&toctitle=Eighth%20ACM%20International%20Conference%20on%20Web%20Search%20and%20Data%20Mining&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=761263268&cftoken=33687223&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F4EACC6144367F36B17DAB434742DC37&_cf_rc=1
WSDM_2016	ACM	http://dl.acm.org/tab_about.cfm?id=2835776&type=proceeding&sellOnline=0&parent_id=2835776&parent_type=proceeding&title=Proceedings%20of%20the%20Ninth%20ACM%20International%20Conference%20on%20Web%20Search%20and%20Data%20Mining&toctitle=Ninth%20ACM%20International%20Conference%20on%20Web%20Search%20and%20Data%20Mining&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=761263268&cftoken=33687223&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F4EACC6144367F36B17DAB434742DC37&_cf_rc=1
WWW_2011	ACM	http://dl.acm.org/tab_about.cfm?id=1963192&type=proceeding&sellOnline=0&parent_id=1963192&parent_type=proceeding&title=Proceedings%20of%20the%2020th%20international%20conference%20companion%20on%20World%20wide%20web&toctitle=20th%20International%20World%20Wide%20Web%20Conference&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
WWW_2012	ACM	http://dl.acm.org/tab_about.cfm?id=2187836&type=proceeding&sellOnline=0&parent_id=2187836&parent_type=proceeding&title=Proceedings%20of%20the%2021st%20international%20conference%20on%20World%20Wide%20Web&toctitle=21st%20World%20Wide%20Web%20Conference%202012&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
WWW_2013	ACM	http://dl.acm.org/tab_about.cfm?id=2488388&type=proceeding&sellOnline=0&parent_id=2488388&parent_type=proceeding&title=Proceedings%20of%20the%2022nd%20international%20conference%20on%20World%20Wide%20Web&toctitle=22nd%20International%20World%20Wide%20Web%20Conference&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
WWW_2014	ACM	http://dl.acm.org/tab_about.cfm?id=2566486&type=proceeding&sellOnline=0&parent_id=2566486&parent_type=proceeding&title=Proceedings%20of%20the%2023rd%20international%20conference%20on%20World%20wide%20web&toctitle=23rd%20International%20World%20Wide%20Web%20Conference&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=2
WWW_2015	ACM	http://dl.acm.org/tab_about.cfm?id=2736277&type=proceeding&sellOnline=0&parent_id=2736277&parent_type=proceeding&title=Proceedings%20of%20the%2024th%20International%20Conference%20on%20World%20Wide%20Web&toctitle=24th%20International%20World%20Wide%20Web%20Conference&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
WWW_2016	ACM	http://dl.acm.org/tab_about.cfm?id=2872427&type=proceeding&sellOnline=0&parent_id=2872427&parent_type=proceeding&title=Proceedings%20of%20the%2025th%20International%20Conference%20on%20World%20Wide%20Web&toctitle=25th%20International%20World%20Wide%20Web%20Conference&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=664142277&cftoken=37445114&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=946BC293CD355ED7EC5F24B722F788DD&_cf_rc=1
